Wavelength (nm),S01,S02,S03,S04,S05
766,0.058038,0.046929,0.041140,0.034694,0.030483
767,0.057002,0.046136,0.040504,0.034266,0.030215
768,0.055985,0.045362,0.039887,0.033852,0.029958
769,0.054988,0.044609,0.039289,0.033454,0.029711
770,0.054012,0.043876,0.038708,0.033071,0.029475
771,0.053055,0.043162,0.038147,0.032701,0.029249
772,0.052119,0.042469,0.037602,0.032346,0.029032
773,0.051203,0.041795,0.037076,0.032004,0.028825
774,0.050307,0.041140,0.036566,0.031675,0.028628
775,0.049432,0.040504,0.036074,0.031359,0.028439
776,0.048577,0.039887,0.035598,0.031055,0.028258
777,0.047743,0.039289,0.035138,0.030763,0.028086
778,0.046929,0.038708,0.034694,0.030483,0.027921
779,0.046136,0.038147,0.034266,0.030215,0.027764
780,0.045362,0.037602,0.033852,0.029958,0.027615
781,0.044609,0.037076,0.033454,0.029711,0.027472
782,0.043876,0.036566,0.033071,0.029475,0.027337
783,0.043162,0.036074,0.032701,0.029249,0.027208
784,0.042469,0.035598,0.032346,0.029032,0.027085
785,0.041795,0.035138,0.032004,0.028825,0.026968
786,0.041140,0.034694,0.031675,0.028628,0.026857
787,0.040504,0.034266,0.031359,0.028439,0.026751
788,0.039887,0.033852,0.031055,0.028258,0.026651
789,0.039289,0.033454,0.030763,0.028086,0.026556
790,0.038708,0.033071,0.030483,0.027921,0.026466
791,0.038147,0.032701,0.030215,0.027764,0.026380
792,0.037602,0.032346,0.029958,0.027615,0.026299
793,0.037076,0.032004,0.029711,0.027472,0.026222
794,0.036566,0.031675,0.029475,0.027337,0.026149
795,0.036074,0.031359,0.029249,0.027208,0.026080
796,0.035598,0.031055,0.029032,0.027085,0.026015
797,0.035138,0.030763,0.028825,0.026968,0.025953
798,0.034694,0.030483,0.028628,0.026857,0.025895
799,0.034266,0.030215,0.028439,0.026751,0.025840
800,0.033852,0.029958,0.028258,0.026651,0.025788
801,0.033454,0.029711,0.028086,0.026556,0.025739
802,0.033071,0.029475,0.027921,0.026466,0.025693
803,0.032701,0.029249,0.027764,0.026380,0.025649
804,0.032346,0.029032,0.027615,0.026299,0.025608
805,0.032004,0.028825,0.027472,0.026222,0.025569
806,0.031675,0.028628,0.027337,0.026149,0.025532
807,0.031359,0.028439,0.027208,0.026080,0.025498
808,0.031055,0.028258,0.027085,0.026015,0.025465
809,0.030763,0.028086,0.026968,0.025953,0.025435
810,0.030483,0.027921,0.026857,0.025895,0.025406
811,0.030215,0.027764,0.026751,0.025840,0.025379
812,0.029958,0.027615,0.026651,0.025788,0.025354
813,0.029711,0.027472,0.026556,0.025739,0.025330
814,0.029475,0.027337,0.026466,0.025693,0.025308
815,0.029249,0.027208,0.026380,0.025649,0.025287
816,0.029032,0.027085,0.026299,0.025608,0.025268
817,0.028825,0.026968,0.026222,0.025569,0.025249
818,0.028628,0.026857,0.026149,0.025532,0.025232
819,0.028439,0.026751,0.026080,0.025498,0.025216
820,0.028258,0.026651,0.026015,0.025465,0.025201
821,0.028086,0.026556,0.025953,0.025435,0.025187
822,0.027921,0.026466,0.025895,0.025406,0.025174
823,0.027764,0.026380,0.025840,0.025379,0.025161
824,0.027615,0.026299,0.025788,0.025354,0.025150
825,0.027472,0.026222,0.025739,0.025330,0.025139
826,0.027337,0.026149,0.025693,0.025308,0.025129
827,0.027208,0.026080,0.025649,0.025287,0.025120
828,0.027085,0.026015,0.025608,0.025268,0.025111
829,0.026968,0.025953,0.025569,0.025249,0.025103
830,0.026857,0.025895,0.025532,0.025232,0.025095
831,0.026751,0.025840,0.025498,0.025216,0.025088
832,0.026651,0.025788,0.025465,0.025201,0.025082
833,0.026556,0.025739,0.025435,0.025187,0.025076
834,0.026466,0.025693,0.025406,0.025174,0.025070
835,0.026380,0.025649,0.025379,0.025161,0.025065
836,0.026299,0.025608,0.025354,0.025150,0.025060
837,0.026222,0.025569,0.025330,0.025139,0.025055
838,0.026149,0.025532,0.025308,0.025129,0.025051
839,0.026080,0.025498,0.025287,0.025120,0.025047
840,0.026015,0.025465,0.025268,0.025111,0.025043
841,0.025953,0.025435,0.025249,0.025103,0.025040
842,0.025895,0.025406,0.025232,0.025095,0.025037
843,0.025840,0.025379,0.025216,0.025088,0.025034
844,0.025788,0.025354,0.025201,0.025082,0.025031
845,0.025739,0.025330,0.025187,0.025076,0.025029
846,0.025693,0.025308,0.025174,0.025070,0.025027
847,0.025649,0.025287,0.025161,0.025065,0.025024
848,0.025608,0.025268,0.025150,0.025060,0.025022
849,0.025569,0.025249,0.025139,0.025055,0.025021
850,0.025532,0.025232,0.025129,0.025051,0.025019
